family,size,cond_strand,core_strand,cond_wire_dia,core_wire_dia,metal_od,tw_type,low_temp_degc,low_resistance_ohm_per_mile,hi_temp_degc,hi_resistance_ohm_per_mile,al_weight,st_weight,spec
ACCR,373.20216,24,7,0.1247,0.0831,0.748,13,25,0.242731867,240,0.448483672,351.51491502967275,56.48508497032725,ACCR
ACCR,1033.35,24,37,0.2075,0.0889,1.222,28,25,0.082928358,240,0.152146826,973.3007371819937,336.69926281800633,ACCR
ACCR,427.09344,24,7,0.1334,0.0889,0.8,13,25,0.212278167,240,0.39197642,402.27450524758655,64.72549475241345,ACCR
ACCR,557.76224,56,37,0.0998,0.1046,1.132,73,25,0.130117621,240,0.240488347,666.2975325797476,331.70246742025245,ACCR
ACCR,679.66192,28,19,0.1558,0.0831,1.039,19,25,0.130653989,240,0.240535753,640.1659145212457,154.83408547875433,ACCR
ACCR,787.7635200000002,32,19,0.1569,0.1046,1.151,26,25,0.109933071,240,0.202204169,741.9855951430612,246.01440485693877,ACCR
ACCR,1237.95564,51,19,0.1558,0.0831,1.35,11,25,0.076361278,240,0.138257676,1171.7043724669354,153.2956275330646,ACCR
ACCR,824.06616,24,19,0.1853,0.0741,1.112,13,25,0.111234789,240,0.203962477,776.1786432619489,121.82135673805112,ACCR
ACCR,1035.8415000000002,54,19,0.1385,0.0831,1.247,13,25,0.089533911,240,0.163293568,980.4067088645512,153.5932911354488,ACCR
ACCR,824.70986,26,19,0.1781,0.0831,1.128,16,25,0.109513382,240,0.200945617,776.7849370486854,153.21506295131462,ACCR
ACCR,575.4675000000002,30,19,0.1385,0.0831,0.97,23,25,0.151744961,240,0.279892554,542.026362775709,154.973637224291,ACCR
ACCR,633.5579799999999,22,7,0.1697,0.0943,0.962,10,25,0.145587164,240,0.26786354,596.7411322219333,73.2588677780667,ACCR
ACCR,655.65344,26,19,0.1588,0.0741,1.006,16,25,0.137093355,240,0.252378705,617.5525973657619,122.44740263423807,ACCR
ACCR,470.34650000000005,26,7,0.1345,0.1046,0.852,16,25,0.190079414,240,0.350880104,443.0140757545562,89.98592424544381,ACCR
ACCR,1594.1702400000004,51,19,0.1768,0.0943,1.532,11,25,0.060484777,240,0.108027611,1508.855552097702,197.144447902298,ACCR
ACCR,400.20750000000004,30,7,0.1155,0.1155,0.809,23,25,0.217137785,240,0.401281159,376.9509408968528,110.04905910314721,ACCR
ACCR,339.67674,26,7,0.1143,0.0889,0.724,16,25,0.262624178,240,0.485468643,319.9376991779904,65.0623008220096,ACCR
ACCR,296.56224000000003,26,7,0.1068,0.0831,0.677,16,25,0.300409159,240,0.555513446,279.32863677586823,57.67136322413177,ACCR
ACCR,257.40650000000005,26,7,0.0995,0.0774,0.63,16,25,0.346141955,240,0.640264265,242.44828587161842,49.551714128381576,ACCR
ACCR,780.05158,22,7,0.1883,0.1046,1.067,10,25,0.118858311,240,0.217997525,734.7218056360177,90.27819436398227,ACCR
ACCR,720.7893600000001,24,7,0.1733,0.1155,1.04,13,25,0.126618423,240,0.232688278,678.9033874688513,109.09661253114871,ACCR
ACCR,1033.35,24,19,0.2075,0.1111,1.189,23,25,0.084957824,240,0.155676754,973.3007371819937,269.69926281800633,ACCR
ACCR,1153.702,22,19,0.229,0.0889,1.201,13,25,0.07794328,240,0.145,1086.6589317156242,176.34106828437575,ACCR
ACCR,795.2072,20,19,0.1994,0.0741,0.992,13,25,0.11446331,240,0.210199894,748.9967135747124,120.00328642528757,ACCR
ACCR,1033.3058,20,19,0.2273,0.0831,1.132,13,25,0.088934785,240,0.162462458,973.259105699356,149.74089430064396,ACCR
ACCR,1621.97528,38,19,0.2066,0.1046,1.411,13,25,0.058379739,240,0.104819278,1527.7202648811833,246.2797351188167,ACCR
ACCR,573.3584999999999,26,7,0.1485,0.1155,0.941,16,25,0.156209807,240,0.287949202,540.0399194073278,109.96008059267217,ACCR
ACCR,266.7747,30,7,0.0943,0.0943,0.66,23,25,0.325281213,240,0.601734979,251.2720880355206,73.7279119644794,ACCR
ACCR,131.29392,12,7,0.1046,0.1046,0.523,58,25,0.578632493,240,1.071167728,123.66426585717686,90.33573414282314,ACCR
ACCR,182.84859000000003,19,19,0.0981,0.1046,0.719,114,25,0.348284186,240,0.644741974,172.2230294089013,242.7769705910987,ACCR
ACCR,270.29601,9,7,0.1733,0.1155,0.693,35,25,0.306593578,240,0.567250873,254.58877030081928,109.41122969918072,ACCR
ACCR,381.92544,26,7,0.1212,0.0943,0.768,16,25,0.233541944,240,0.431535769,359.73127430256676,73.26872569743324,ACCR
ACCR,762.8418,20,19,0.1953,0.0831,0.99,17,25,0.117010256,240,0.215186138,718.5121075078522,151.4878924921478,ACCR
ACCR,477.06912,18,7,0.1628,0.1046,0.789,16,25,0.187034688,240,0.345215545,449.346035885968,88.65396411403202,ACCR
ACCR,571.8962,20,7,0.1691,0.1046,0.845,13,25,0.158056153,240,0.29130643,538.6625954919253,88.33740450807466,ACCR
ACCR,664.6658,20,19,0.1823,0.0741,0.93,16,25,0.134860729,240,0.248303187,626.04123783777,120.95876216222996,ACCR
ACCR,958.0809600000001,24,19,0.1998,0.0889,1.099,16,25,0.094323907,240,0.172788628,902.4056753742994,172.59432462570055,ACCR
ACCR,1334.5128800000002,38,19,0.1874,0.0943,1.275,13,25,0.070011887,240,0.126894112,1256.9626650049504,201.0373349950496,ACCR
ACCR,1321.0948799999999,48,19,0.1659,0.0774,1.382,9,25,0.072340224,240,0.130396843,1244.3244017916074,132.67559820839256,ACCR
ACCR,1334.43936,54,19,0.1572,0.0943,1.415,13,25,0.070478983,240,0.127329765,1263.024604745917,196.97539525408297,ACCR
ACCR,480.5339999999999,24,7,0.1415,0.0943,0.849,13,25,0.188847739,240,0.348471865,452.60956736924754,73.39043263075246,ACCR
ACCR,1852.1481600000002,54,19,0.1852,0.1111,1.667,13,25,0.052326901,240,0.092607078,1753.0273520370963,271.9726479629037,ACCR
ACCR,1741.9320000000002,48,19,0.1905,0.0889,1.588,9,25,0.056297804,240,0.099667891,1640.7061496307203,175.29385036927965,ACCR
ACCR,1961.2157099999997,51,19,0.1961,0.1046,1.7,11,25,0.050368292,240,0.088491903,1847.2470085797715,251.75299142022845,ACCR
ACCR,194.52222999999998,7,7,0.1667,0.0741,0.556,20,25,0.451275838,240,0.835083006,183.2182995667347,45.781700433265314,ACCR
ACCR,236.13433999999998,26,7,0.0953,0.0741,0.603,16,25,0.377582694,240,0.698517461,222.41227773356903,45.58772226643097,ACCR
ACCR,207.16829999999996,30,7,0.0831,0.0831,0.582,23,25,0.418681091,240,0.774757585,195.12949059925523,57.870509400744766,ACCR
